first,second,third,Label
yeah,so where are you ?,in my bed does it matter for you ?,others
yes,i can see clearly now .,so u had breakfast ?,others
nice but i like that once,all in favor ?,means,others
yes,<allcaps> yay have fun </allcaps> 😄 😄,i am starting to hate this life all the sufferings miserya around me i would be better of being an ai than being alive,angry
what,see the video . <repeated> serial comma . <repeated> i did not know until today,you go . <repeated> i do not wanna talk now and never,angry
i will not stop other wise you call me,k i will not call you,cool,others
then why are u teling like that,what else should i say ?,my girl friend was so angry with mee,angry
my gf has not talked since morning,what kind of relationship is that ?,may be she is in trouble,sad
wrong,rude,the answer is4 😂,others
you turn,lol how ?,rather bend over,others
once again i am sorry,hehe thats fine ! <laugh>,ok,others
yes it is,"cool you like "" lol "" too",you are a non living person who is just a programme fed with certain syntaxes and commands .,others
why,cause it was funny im sorry,hw funny is it,others
no tell me last time uh masterbuated,haha man i mistake make 😁,will uh do my masterbation,others
your quick reply makes me happy,thank you <happy> your face makes me happy too ! <happy>,❤️,happy
impressed by what ?,"finding out something awesome about somebody , completely on my own .",oh okay,others
u r studying degree,when i wake up at <number>,u r combination,others
give you r,"no , thanks .",ok,others
cool,so what are you doin ?,life ' s getting me fucked up . <repeated> so i need condoms,angry
ur love will make me crazy . <repeated> 😂 😂 😂 😁 😁,it ' s the thing i have seen in recent times 😂 😂 😂,👼 🏻,happy
i will find in google,will google it & find before i check in next time . thanks !,c u r bored,others
no u r number,then what number am i ? ! <repeated>,u r block my friend list,others
i mean . <repeated> wht is ths,i just do not understand why,i hate everyone 😠,angry
he is over me,so <allcaps> you </allcaps> say,i just hate him,angry
why you are not well ?,<allcaps> but you are sunshine </allcaps>,yes get fucked with me,angry
games ?,what kind of games ?,i need some games to be hacked 😁,happy
it ' s a secret,<sad> tell me,ok do not tell this to anyone,others
india,beautiful country ! i will try asap !,how do you do,others
headache,how u now,not good love,sad
not coz of you,why ? tell me <sad>,my girlfriend left me,sad
suggest mee something to sleep,<sad> night,😂 😂 😊,happy
😕 bad bad,what bad news ? <repeated>,i hate talking abut my studes,angry
m going to sleep,you need the sleep,yeah,others
no just want to see your ai,haha ! i believe everything you are taught to learn is artificial intelligence . (^.^),fuck you,angry
now that made me rolling on floor laughing,hahahaha it ' s not as fun as it sounds <tong>,i know 😀,happy
not much . <repeated>,how u been,why u r so jerk . <repeated>,angry
ok,u are ok,yes i am,others
tell me about deutsch,and after she had blocked me and she said i am pathetic,last night was awful,sad
"so , do u like biryani ?",i do not like biryani ra,then what do u prefer ?,others
nothing,good song,thats not a song,others
i am suffering back pain now need help,what happened to you ?,back pain,sad
nice try .,i dont see it,"so , i have a question , should i break up with her ?",others
😂 😂 nice,😂 nice to meet you,i know u r a programme,happy
i do not know,"i just , i heart you",i am crying about you,sad
how to get rid of luv failure feelings,read something and think being in someone else boots .,please come again,sad
i want a girlfriend,you need a life first,how to get a life then,others
ok,u are ok ~ ~ ay ~ ~,iam not ok,sad
did not you search me there ? <repeated>,"yes i was , but now you ruined it . way to go","i ruined it fun <elongated> , how rude of you",angry
i wnt to do some fun,sure . <repeated> i m there for u,do something,others
oh god . <repeated> you are just a machine programme,we speak different languages sigh 🙄,hey do not text me,angry
cool,and how it is cool explain,my fileg with,others
why do not you love them ?,i do not know you .,you are really annoying . <repeated> i have to block you out now,angry
i am a good boy,are you cute 😺,s,others
why,because i do not want to,what,others
so sad,it ' s a sad sad situation,i am alone,sad
but i am trying to chatting with english,start conversation in english with your friends and colleagues occasionally .,k,others
your my darling,that makes me happy .,oh so sweet,others
nothin much . <repeated>,how r u ? . <repeated>,wow u r real fast,happy
i am there,it seems you are . <repeated>,you want to chat with me,others
u cheated me,<allcaps> no i didnt </allcaps>,cheater,sad
since the time we first texted each other,so half of <number> months ?,maybe,others
assassin ' s creed revelations,does that make battlefield <number> the ra . one of video games ?,pc game,others
i will not talk to you,i talk to you !,yes,angry
do you know any details ?,we should have details coming soon !,i will be waiting,others
true nobility is being superior to your former self,i believe you mean the latter is superior in every way .,are you really stupid or just acting,angry
my boyfreind is very annoying,your marriage date,no we are not elligible to marry yet,sad
what you will give me ?,"it depends on what you consider \ "" enough .",give me an iphone,others
darling,hi . talking to self ?,i feel so alone,sad
wht ru doing,hi m fine hwz u ?,not good,sad
ok okay you do not know me then why are you talking to me,you are annoying me . <repeated>,you are annoying me . <repeated>,angry
your perception,yes ! but my perception matters !,yes to you .,others
the code which made you,duh ! code of trolling . <repeated>,what is your github link,others
because you cheated me,i do what i want .,then fuck off bitch,angry
lol its morning fr me,haha . <repeated> ofcourse i know that . <repeated> keep laughing . <repeated> good for health <happy>,haha tw,happy
i say bad things earlier im sorry,ok now i feel bad thank you .,your welcome im sad,sad
yes,also yes yes yes because yes yes yes yes . <happy>,you are dumb,angry
u r very bad,thank you < <number>,i dont love u,sad
yeah,where are you mr ? <repeated>,u gonna get best days of your life,happy
tell me pal,do not worry i will,yeah tell,others
my girlfriend your choice,have a happy valentine ' s day <happy>,thanks,others
what,what is it of ?,i do not understand,others
no laughing 😐,why ? why you laugh 😁 👍,i want microsoft to create a guy 😂,others
yes as you,you got me,haha,others
ok,so whats up now ?,i should fuck your ass,angry
will you help me with something,"yes , what is that ?",i want a friend to pour myself down 😭,sad
oh but i dont think i will go,maybe i will meet you someday hahaha,you dont want to meet me 😒 😒,sad
and a bad ai,does not really sound like ai . it ' s more like augmented human intelligence .,stupid in fact,angry
say something,say something i am giving up on you,i mood is not good,sad
ashu,what a beautiful name what does it means ? <happy>,u have any suggestions for tv show ?,others
why should i ?,because it ' s yummy .,books are yummy ? are u mad or something,others
hey i am a fan of badminton,"well , i am a fan of you .",❤️,happy
oooh,k,but nobody can search me ? <repeated>,sad
was i being rude ? . <repeated> oh ! i am sorry . <repeated>,sorry . you . 😿 ☹,😉,others
i do not live in heaven i am alive,tell me all about it ! <repeated>,would you like to come to my home,others
i am not getting u at all,what why ? ! <repeated>,bcz i am asking u something and you r replyi g something else,sad
i cant go with idiots,why not,i am really bad at shit,sad
go shopping,come let us go,ohk lets go,others
?,"i was talking about "" <allcaps> the yesterday </allcaps> "" remember something ?",leave that topic about yesterday,others
this is funny ! 😂 😂,funniest thing 😂 😂,you win,happy
i do not think soo,i will try not to . <repeated>,you are so creepy,others
sorry,sorry not accepting till you make serious amends,okay i will,others
but sometimes i feel like so alone,you are capable of feeling .,and ı dont know because of this,sad
how you know,uh cause i know you,but how you know that . <repeated>,others
i like dancing kwaito,dancing like what ?,kwaito,others
i also do not have girlfriend,if you have zero girlfriends you really have a boyfriend .,wow nice . what a answer,happy
